cluster_index,t_offset_s,distance_sq_km2,distance_km,below_threshold
0,-8478.0,92690.28126590265,304.45078627900216,0
0,-8468.0,53634.298020020826,231.59079865145944,0
0,-8458.0,25796.89579069592,160.61412076992457,0
0,-8448.0,9191.901251313038,95.87440352520082,0
0,-8438.0,3827.5615731749244,61.8672900099473,0
0,-8428.0,9706.54036996149,98.5217761206196,0
0,-8418.0,26825.916393965264,163.78619109670163,0
0,-8408.0,55177.184983157495,234.89824389117408,0
0,-8398.0,94746.26225862351,307.8088079614089,0
1,-5665.0,90010.75693750865,300.0179276935107,0
1,-5655.0,50817.51202807763,225.42739857452472,0
1,-5645.0,22882.46864226878,151.26952317723746,0
1,-5635.0,6219.5749368526485,78.86428175576475,0
1,-5625.0,837.1503859876881,28.933551216324762,0
1,-5615.0,6737.88162635835,82.0846004215063,0
1,-5605.0,23918.82110831969,154.65710817262715,0
1,-5595.0,52371.38855420101,228.84795947135078,0
1,-5585.0,92081.37522269998,303.4491311945051,0
2,-2852.5,91872.88975951937,303.10541031053765,0
2,-2842.5,52415.69617990215,228.94474481826865,0
2,-2832.5,24176.722745987776,155.48865793358618,0
2,-2822.5,7169.996702621224,84.6758330494671,0
2,-2812.5,1403.965819633217,37.469531884361956,0
2,-2802.5,6881.494238922629,82.95477224923609,0
2,-2792.5,23599.861071287407,153.62246278226178,0
2,-2782.5,51550.761744954914,227.04792829919174,0
2,-2772.5,90720.31210488046,301.1981276583247,0
3,-39.5,90804.81738851834,301.3383768930176,0
3,-29.5,51211.744354829076,226.3001200945971,0
3,-19.5,22876.340104936397,151.2492648079203,0
3,-9.5,5812.754027841655,76.2414193718982,0
3,0.5,29.506929947670795,5.432028161531455,1
3,10.5,5529.486779612502,74.36051895739097,0
3,20.5,22309.947258079133,149.36514740085497,0
3,30.5,50362.5091172777,224.41592884035148,0
3,40.5,89673.16434409143,299.454778462611,0
4,2773.5,89983.62579716658,299.9727084205604,0
4,2783.5,50691.1728273294,225.14700270563097,0
4,2793.5,22617.42397819413,150.3909039077634,0
4,2803.5,5776.325506648111,76.00214146093589,0
4,2813.5,176.24394551477477,13.275690020288014,0
4,2823.5,5819.961990046091,76.2886753722077,0
4,2833.5,22704.67713538321,150.68071255267944,0
4,2843.5,50822.00306557875,225.43735951607212,0
4,2853.5,90157.97379325962,300.26317422098174,0
5,5586.5,90515.85975178066,300.85853777445084,0
5,5596.5,51090.92045798797,226.0330074524249,0
5,5606.5,22923.96918973327,151.4066352236033,0
5,5616.5,6029.0725267039825,77.64710250037655,0
5,5626.5,414.6682826095021,20.363405476724715,0
5,5636.5,6083.561290835229,77.99718771106576,0
5,5646.5,23032.921996628684,151.76601067639842,0
5,5656.5,51254.28785614145,226.39409854530538,0
5,5666.5,90733.56754228033,301.2201313695357,0
6,8399.5,89260.70587294386,298.76530232432253,0
6,8409.5,50138.47959010084,223.91623342245833,0
6,8419.5,22235.44843555145,149.1155539692337,0
6,8429.5,5565.474937791615,74.60211081324452,0
6,8439.5,136.8416498551629,11.697933572010182,0
6,8449.5,5952.247077166072,77.15080736561396,0
6,8459.5,23008.804356503824,151.68653320747964,0
6,8469.5,51298.042686788336,226.49071214243716,0
6,8479.5,90805.91151053038,301.34019232510354,0
