composition,bootstraps_so_far,cluster_index,t_offset_s,plaintext_distance_km,raw_flag,encrypted_below,plaintext_below
1,0,0,-8478.0,304.45078627900216,0.062439105351836416,0,0
1,0,0,-8468.0,231.59079865145944,0.036124153853779484,0,0
1,0,0,-8458.0,160.61412076992457,0.017344138763958006,0,0
1,0,0,-8448.0,95.87440352520082,0.006136971335613941,0,0
1,0,0,-8438.0,61.8672900099473,0.0025160944252652015,0,0
1,0,0,-8428.0,98.5217761206196,0.006484345455896731,0,0
1,0,0,-8418.0,163.78619109670163,0.0180385654373339,0,0
1,0,0,-8408.0,234.89824389117408,0.037164598395581575,0,0
1,0,0,-8398.0,307.8088079614089,0.06382284898194521,0,0
1,0,1,-5665.0,300.0179276935107,0.06063544136257136,0,0
1,0,1,-5655.0,225.42739857452472,0.03422455864993076,0,0
1,0,1,-5645.0,151.26952317723746,0.015377291379393011,0,0
1,0,1,-5635.0,78.86428175576475,0.004130695373882345,0,0
1,0,1,-5625.0,28.933551216324762,0.0004975779110857198,0,0
1,0,1,-5615.0,82.0846004215063,0.004480553611448631,0,0
1,0,1,-5605.0,154.65710817262715,0.016076693376600417,0,0
1,0,1,-5595.0,228.84795947135078,0.03527250327230706,0,0
1,0,1,-5585.0,303.4491311945051,0.06202925712896827,0,0
1,0,2,-2852.5,303.10541031053765,0.06188892614845133,0,0
1,0,2,-2842.5,228.94474481826865,0.03530237532080111,0,0
1,0,2,-2832.5,155.48865793358618,0.01625074461476865,0,0
1,0,2,-2822.5,84.6758330494671,0.004772207995992962,0,0
1,0,2,-2812.5,37.469531884361956,0.0008801794454608158,0,0
1,0,2,-2802.5,82.95477224923609,0.004577485525517025,0,0
1,0,2,-2792.5,153.62246278226178,0.01586144426932459,0,0
1,0,2,-2782.5,227.04792829919174,0.034719070040810165,0,0
1,0,2,-2772.5,301.1981276583247,0.061113075891592275,0,0
1,0,3,-39.5,301.3383768930176,0.0611699709851554,0,0
1,0,3,-29.5,226.3001200945971,0.03449043859915301,0,0
1,0,3,-19.5,151.2492648079203,0.015373142846432921,0,0
1,0,3,-9.5,76.2414193718982,0.0038561037793537895,0,0
1,0,3,0.5,5.432028161531455,-4.757937668718714e-05,1,1
1,0,3,10.5,74.36051895739097,0.0036648883055230147,0,0
1,0,3,20.5,149.36514740085497,0.014990900040657548,0,0
1,0,3,30.5,224.41592884035148,0.033917704573664276,0,0
1,0,3,40.5,299.454778462611,0.06040816369483934,0,0
1,0,4,2773.5,299.9727084205604,0.060617148085077406,0,0
