t_offset_s,raw_flag,below_threshold_flagged
-300.0,1.0000000028603782,0
-290.0,0.9999999946132305,0
-280.0,0.9999999784012942,0
-270.0,0.9999999948368875,0
-260.0,0.9999999897043857,0
-250.0,0.99999998893833,0
-240.0,0.9999999876198078,0
-230.0,1.0000000127597777,0
-220.0,1.0000000291143964,0
-210.0,1.0000000030616516,0
-200.0,1.0000000059348206,0
-190.0,1.0000000053763216,0
-180.0,0.9999999905344926,0
-170.0,1.0000000211141034,0
-160.0,0.9999999963452564,0
-150.0,1.0000000075455675,0
-140.0,1.0000000008582632,0
-130.0,0.9999999976873639,0
-120.0,0.9999999785153546,0
-110.0,1.0000000027763525,0
-100.0,0.9999999817260028,0
-90.0,1.0000000008508045,0
-80.0,1.0000000108163143,0
-70.0,1.0000000287195705,0
-60.0,0.9999999984312075,0
-50.0,1.0000000024684303,0
-40.0,0.9999999867018127,0
-30.0,0.9999999899300543,0
-20.0,0.9999999767687471,0
-10.0,0.9999999869959108,0
0.0,-0.9999999960862775,1
10.0,1.0000000052899232,0
20.0,1.0000000084140428,0
30.0,0.9999999884693758,0
40.0,0.9999999995174819,0
50.0,0.9999999916831831,0
60.0,0.9999999974987203,0
70.0,0.9999999979966092,0
80.0,0.9999999796738714,0
90.0,0.9999999966463035,0
100.0,1.000000001636023,0
110.0,1.0000000125948516,0
120.0,0.9999999990067168,0
130.0,0.999999989501116,0
140.0,0.9999999895778012,0
150.0,0.99999998551281,0
160.0,1.0000000161244107,0
170.0,0.9999999963479514,0
180.0,1.000000006434571,0
190.0,1.0000000042063657,0
200.0,1.000000007049928,0
210.0,0.9999999774537034,0
220.0,0.9999999867556406,0
230.0,1.0000000040415131,0
240.0,1.000000015209132,0
250.0,0.9999999988814914,0
260.0,1.0000000041747654,0
270.0,1.0000000046789443,0
280.0,1.0000000131075175,0
290.0,0.9999999637841953,0
300.0,1.0000000138578344,0
