n_clusters,n_points,flag_sum,ideal_sum,estimated_count,true_count,t_ctx_s,t_enc_s,t_dist_s,t_compose_s,t_bootstrap_s,t_sum_s,t_total_s,bootstraps,omp_threads
1,9,7.000000028484884,7,0.9999999857575581,1,0.8682477970005493,0.13028398499955074,0.9672682740001619,1.9104537179991894,4.645288718000302,0.04897112900016509,8.570689400999981,3,8
3,27,24.999999898861844,25,1.0000000505690778,1,0.8755354220002118,0.13276389400016342,0.9378378829997018,1.8740221529988048,4.544518982999762,0.04567664500063984,8.410535130000426,3,8
5,45,42.999999929634974,43,1.000000035182513,1,0.8745529460002217,0.1381371229999786,0.978958835999947,1.8875202630015337,4.680252336000194,0.04652640099993732,8.606121585000437,3,8
7,63,60.99999992219829,61,1.000000038900854,1,0.8783951410005102,0.13616811100018822,0.9801936510002633,1.9034993699988263,4.5906577030000335,0.0609525260006194,8.550048522001816,3,8
