cluster_index,t_offset_s,raw_flag,below_threshold_flagged
0,-8478.0,0.06244010063772591,0
0,-8468.0,0.03612476394638866,0
0,-8458.0,0.017344408063306095,0
0,-8448.0,0.006137075581476425,0
0,-8438.0,0.0025161470073224263,0
0,-8428.0,0.0064844461931815025,0
0,-8418.0,0.018038855317022442,0
0,-8408.0,0.03716520258863644,0
0,-8398.0,0.0638238737362976,0
1,-5665.0,0.06063639846465112,0
1,-5655.0,0.0342251142100343,0
1,-5645.0,0.015377524463275682,0
1,-5635.0,0.004130760055852066,0
1,-5625.0,0.0004975925842883343,0
1,-5615.0,0.004480628071535988,0
1,-5605.0,0.01607695780892804,0
1,-5595.0,0.035273063437914656,0
1,-5585.0,0.06203023782874141,0
2,-2852.5,0.06188990915019297,0
2,-2842.5,0.035302950782724114,0
2,-2832.5,0.016251004784326204,0
2,-2822.5,0.004772297534622103,0
2,-2812.5,0.0008801935753397108,0
2,-2802.5,0.004577556225342835,0
2,-2792.5,0.01586169292744878,0
2,-2782.5,0.034719628305217576,0
2,-2772.5,0.06111405591454995,0
3,-39.5,0.06117094384821419,0
3,-29.5,0.034490998202683226,0
3,-19.5,0.015373396934133646,0
3,-9.5,0.003856155360087567,0
3,0.5,-4.758362197236529e-05,1
3,10.5,0.0036649507439990995,0
3,20.5,0.014991129894271028,0
3,30.5,0.03391823915370765,0
3,40.5,0.06040912958935812,0
4,2773.5,0.06061812656409768,0
4,2783.5,0.034139890150168446,0
4,2793.5,0.01519865050503501,0
4,2803.5,0.003831567246029346,0
4,2813.5,5.146024305726337e-05,0
4,2823.5,0.003861022578956165,0
4,2833.5,0.015257537383035143,0
4,2843.5,0.03422813916848583,0
4,2853.5,0.06073549413973165,0
5,5586.5,0.06097641980319277,0
5,5596.5,0.03440950946592784,0
5,5606.5,0.015405536529393703,0
5,5616.5,0.004002177162579628,0
5,5626.5,0.00021240269863862673,0
5,5636.5,0.004038949370779638,0
5,5646.5,0.015479078226139257,0
5,5656.5,0.03451969713199074,0
5,5666.5,0.06112297328548438,0
6,8399.5,0.060131448873160936,0
6,8409.5,0.03376714049813881,0
6,8419.5,0.014940856269872144,0
6,8429.5,0.0036892394320983523,0
6,8439.5,2.4866528369555125e-05,0
6,8449.5,0.003950320225805352,0
6,8459.5,0.015462791410738943,0
6,8469.5,0.03454919481437754,0
6,8479.5,0.0611716883787597,0
