t_offset_s,raw_flag,below_threshold_flagged
-300.0,1.0000289102715896,0
-290.0,1.0000161483763739,0
-280.0,1.0000068374384918,0
-270.0,0.9999715492451646,0
-260.0,0.9997854257732611,0
-250.0,0.9990991259665363,0
-240.0,0.9972109414994432,0
-230.0,0.9930023303972206,0
-220.0,0.9849946647071728,0
-210.0,0.9715250853517051,0
-200.0,0.9510023370266347,0
-190.0,0.9221758264930666,0
-180.0,0.884352008475652,0
-170.0,0.8375131435635026,0
-160.0,0.7823264487514842,0
-150.0,0.7200536439364618,0
-140.0,0.6523951856222407,0
-130.0,0.5813044240745044,0
-120.0,0.5088055614421341,0
-110.0,0.4368409888465843,0
-100.0,0.3671593961442148,0
-90.0,0.30124950535697825,0
-80.0,0.2403126911163463,0
-70.0,0.18527003130558878,0
-60.0,0.13678929573658968,0
-50.0,0.09532643188915556,0
-40.0,0.06117095030592597,0
-30.0,0.03449099877007815,0
-20.0,0.01537338541668416,0
-10.0,0.00385617190802043,0
0.0,-4.756553957543165e-05,1
10.0,0.003664913340359885,0
20.0,0.014991119301055181,0
30.0,0.03391825381647957,0
40.0,0.060409135924605145,0
50.0,0.09437860164408204,0
60.0,0.13566094453962133,0
70.0,0.18397022182977352,0
80.0,0.23885539357609353,0
90.0,0.299654300118808,0
100.0,0.36545295765093283,0
110.0,0.4350568210055157,0
120.0,0.5069844270321409,0
130.0,0.5794930250324194,0
140.0,0.6506439282538828,0
150.0,0.7184131182127994,0
160.0,0.7808433770659267,0
170.0,0.8362257400367353,0
180.0,0.8832849507525914,0
190.0,0.9213378716034595,0
200.0,0.9503844513866956,0
210.0,0.9711021101250223,0
220.0,0.9847302914115743,0
230.0,0.9928546481103467,0
240.0,0.9971392388632818,0
250.0,0.9990702291521248,0
260.0,0.9997764670239865,0
270.0,0.9999696222624384,0
280.0,1.0000064667660784,0
290.0,1.0000159303166731,0
300.0,1.0000285802534505,0
