cluster_index,t_center_s,ground_truth_miss_km,eval_t_s,plaintext_interp_km,final_flag,encrypted_below,plaintext_below
0,-8438.0,61.86729,-8438.0,61.8672900099473,1.0000000214940552,0,0
1,-5625.0,28.933551,-5625.0,28.933551216324762,1.000000069568378,0,0
2,-2812.5,37.469532,-2812.5,37.469531884361956,1.000000021041543,0,0
3,0.5,5.432028,0.5,5.432028161531455,-0.9999999873597856,1,1
4,2813.5,13.27569,2813.5,13.275690020288014,1.0000000351773217,0,0
5,5626.5,20.363405,5626.5,20.363405476724715,0.9999999720580675,0,0
6,8439.5,11.697934,8439.5,11.697933572010182,1.0000000595214082,0,0
