K,levels_attempted,levels_completed,status,encrypted_min_km2,plaintext_min_km2,relative_error_pct,error_message,distance_eval_ms,reduction_ms
2,1,1,ok,4890373.325854883,4886431.821815867,0.08066221289363866,,15123.8,2246.1
4,2,1,depth_wall,,560469.3374545472,,scale out of bounds,29925.5,4961.7
