cluster_index,t_offset_s,raw_flag,below_threshold_flagged
0,-8478.0,0.9999999902596707,0
0,-8468.0,0.9999999877304134,0
0,-8458.0,1.0000000126122366,0
0,-8448.0,0.999999997764178,0
0,-8438.0,1.0000000402989206,0
0,-8428.0,1.0000000988291708,0
0,-8418.0,0.9999999416367384,0
0,-8408.0,0.999999991327854,0
0,-8398.0,0.9999999649980759,0
1,-5665.0,0.9999999768113964,0
1,-5655.0,1.0000000709336212,0
1,-5645.0,0.999999993408461,0
1,-5635.0,0.99999995820496,0
1,-5625.0,0.9999999974468254,0
1,-5615.0,0.9999999260395941,0
1,-5605.0,1.0000000399009976,0
1,-5595.0,0.9999999801764657,0
1,-5585.0,1.0000000220978353,0
2,-2852.5,0.9999999438833858,0
2,-2842.5,0.9999999809827044,0
2,-2832.5,0.9999999292373425,0
2,-2822.5,0.9999999427018551,0
2,-2812.5,0.9999999917403587,0
2,-2802.5,1.0000000214917748,0
2,-2792.5,1.0000000346695088,0
2,-2782.5,0.9999999764541073,0
2,-2772.5,1.0000000454180749,0
3,-39.5,0.999999969207466,0
3,-29.5,0.9999999702713821,0
3,-19.5,1.0000000457987064,0
3,-9.5,0.9999999800046924,0
3,0.5,-1.000000038707197,1
3,10.5,0.9999999889579402,0
3,20.5,0.9999999567570944,0
3,30.5,1.0000000443829475,0
3,40.5,0.9999999897632144,0
4,2773.5,1.0000000026737208,0
4,2783.5,0.9999999877023951,0
4,2793.5,1.0000000106498157,0
4,2803.5,0.9999999158522977,0
4,2813.5,1.0000000287764228,0
4,2823.5,0.9999999903801994,0
4,2833.5,0.9999999567706571,0
4,2843.5,1.0000000849109278,0
4,2853.5,0.9999999428474461,0
5,5586.5,0.9999999535327806,0
5,5596.5,1.0000000483197005,0
5,5606.5,1.0000000781337262,0
5,5616.5,0.9999999447332634,0
5,5626.5,1.0000000518329768,0
5,5636.5,0.9999999876332659,0
5,5646.5,1.0000000379661,0
5,5656.5,1.0000000031818035,0
5,5666.5,0.9999999675248281,0
6,8399.5,0.9999999468939592,0
6,8409.5,0.9999999970321146,0
6,8419.5,1.000000102033647,0
6,8429.5,1.0000000028105234,0
6,8439.5,0.9999999697268703,0
6,8449.5,1.0000000342966717,0
6,8459.5,1.0000000341546829,0
6,8469.5,1.0000000100569248,0
6,8479.5,0.9999999798986288,0
